"",,,,Tanktables,,,1 / 24
"",,,,,,,
"",,,,M.t.s. Texas,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,Europanr.: 7647
"",,,,,,,
"",,,,TANK TABLE BB1,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
50,39011,39811,40611,41411 42211 43011 43811,,44610,45410 46210
6  0,47010,47810,48610,49410 50210 51010 51810,,52610,53409 54209
70,55009,55809,56609,57409 58209 59009 59809,,60609,61408 62208
80,63008,63808,64608,65408 66208 67008 67808,,68608,69408 70207
90,71007,71807,72607,73407 74207 75007 75807,,76607,77407 78206
100,79006,79806,80606,81406 82206 83006 83806,,84606,85406 86206
110,87005,87805,88605,89405 90205 91005 91805,,92605,93405 94205
120,95005,95804,96604,97404 98204 99004 99804,,100604,101404 102204
130,103004,103803,104603,105403 106203 107003 107803,,108603,109403 110203
140,111003,111803,112602,113402 114202 115002 115802,,116602,117402 118202
150,119002,119802,120601,121401 122201 123001 123801,,124601,125401 126201
160,127001,127801,128601,129400 130200 131000 131800,,132600,133400 134200
170,135000,135800,136600,137400 138199 138999 139799,,140599,141399 142199
180,142999,143799,144599,145399 146198 146998 147798,,148598,149398 150198
190,150998,151798,152598,153398 154198 154997 155797,,156597,157397 158197
200,158997,159797,160597,161397 162197 162997 163796,,164596,165396 166196
210,166996,167796,168596,169396 170196 170996 171795,,172595,173395 174195
220,174995,175795,176595,177395 178195 178995 179795,,180594,181394 182194
230,182994,183794,184594,185394 186194 186994 187794,,188593,189393 190193
240,190993,191793,192593,193393 194193 194993 195793,,196593,197392 198192
250,198992,199792,200592,201392 202192 202992 203792,,204592,205392 206191
260,206991,207791,208591,209391 210191 210991 211791,,212591,213391 214190
270,214990,215790,216590,217390 218190 218990 219790,,220590,221390 222190
280,222989,223789,224589,225389 226189 226989 227789,,228589,229389 230189
290,230988,231788,232588,233388 234188 234988 235788,,236588,237388 238188
300,238988,239787,240587,241387 242187 242987 243787,,244587,245387 246187
310,246987,247787,248586,249386 250186 250986 251786,,252586,253386 254186
